OnlineBackup,MonthlyCharges,PhoneService
Yes,57.8,No
No internet service,19.85,Yes
No internet service,25.55,Yes
No,75.05,Yes
No internet service,24.85,Yes
Yes,49.15,No
No,110.35,Yes
No internet service,24.55,Yes
No,34.7,No
Yes,107.95,Yes
Yes,81.4,Yes
No,80.0,Yes
No,73.8,Yes
No,64.4,Yes
No,103.75,Yes
No,71.1,Yes
No,49.9,Yes
No internet service,24.6,Yes
No,49.25,Yes
Yes,30.1,No
No,83.4,Yes
No internet service,20.45,Yes
Yes,75.25,Yes
No internet service,20.55,Yes
No,75.1,Yes
No internet service,20.05,Yes
No internet service,20.65,Yes
Yes,85.15,Yes
No,50.15,Yes
Yes,84.95,Yes
No,66.5,Yes
No,63.3,Yes
No,83.15,Yes
No,84.9,Yes
No internet service,20.55,Yes
Yes,49.25,Yes
Yes,79.85,Yes
Yes,59.6,Yes
Yes,104.65,Yes
No,75.3,Yes
Yes,80.1,Yes
No internet service,19.55,Yes
No,81.0,Yes
No internet service,24.7,Yes
No,86.0,Yes
No internet service,25.4,Yes
No,89.15,Yes
Yes,58.25,No
No,85.65,Yes
No,50.35,No
No,80.35,Yes
No internet service,20.2,Yes
No internet service,20.55,Yes
No,85.95,Yes
No,45.35,Yes
No,94.5,Yes
No internet service,21.25,Yes
No internet service,26.25,Yes
No,80.85,Yes
Yes,91.7,Yes
Yes,74.2,Yes
No,87.25,Yes
No internet service,20.35,Yes
Yes,75.5,Yes
No,79.05,Yes
No,90.15,Yes
No,50.6,No
Yes,110.45,Yes
Yes,101.0,Yes
Yes,79.35,Yes
Yes,89.85,Yes
No,65.0,Yes
No,80.45,Yes
No,98.55,Yes
No internet service,24.1,Yes
No,44.05,Yes
Yes,110.8,Yes
Yes,114.95,Yes
No,75.05,Yes
No internet service,19.25,Yes
No,90.05,Yes
Yes,56.7,Yes
Yes,80.15,Yes
No,71.35,Yes
No internet service,20.25,Yes
Yes,90.35,Yes
No,98.55,Yes
No internet service,19.7,Yes
No internet service,19.85,Yes
Yes,85.9,Yes
Yes,90.35,Yes
No internet service,20.8,Yes
No,89.25,Yes
No,70.3,Yes
No,66.85,Yes
No internet service,19.9,Yes
No,35.8,No
Yes,78.85,Yes
No internet service,20.4,Yes
No,74.25,Yes
Yes,64.8,Yes
No internet service,20.45,Yes
No,93.35,Yes
No internet service,19.9,Yes
No,88.9,Yes
No,95.8,Yes
Yes,110.65,Yes
Yes,40.3,No
Yes,82.0,Yes
Yes,107.0,Yes
No,45.35,Yes
Yes,73.35,Yes
No,44.8,Yes
Yes,54.75,Yes
No,52.2,Yes
Yes,40.6,No
Yes,110.0,Yes
No,55.3,Yes
No,60.85,Yes
Yes,78.4,Yes
Yes,69.65,Yes
No,59.85,No
Yes,76.9,Yes
No internet service,19.85,Yes
No,67.65,Yes
No,45.0,No
Yes,64.2,Yes
No,81.7,Yes
No internet service,25.55,Yes
No internet service,20.0,Yes
No,96.75,Yes
No,75.65,Yes
No,98.5,Yes
No internet service,23.8,Yes
Yes,64.2,Yes
Yes,85.35,Yes
No,76.8,Yes
No,55.2,Yes
No,108.55,Yes
Yes,101.3,Yes
No,69.55,Yes
Yes,103.25,Yes
No,104.0,Yes
No internet service,25.25,Yes
No,30.4,No
No internet service,20.05,Yes
No,84.6,Yes
No,86.2,Yes
Yes,103.7,Yes
Yes,111.2,Yes
Yes,88.0,Yes
No,106.35,Yes
No,79.15,Yes
Yes,103.1,Yes
No,63.95,Yes
No internet service,25.8,Yes
Yes,89.45,Yes
No,95.6,Yes
No internet service,25.55,Yes
Yes,90.95,Yes
No,44.85,No
Yes,108.55,Yes
No internet service,25.05,Yes
Yes,74.1,Yes
Yes,88.8,Yes
No,78.85,Yes
Yes,93.25,Yes
No,71.4,Yes
No,44.4,Yes
No,79.2,Yes
No internet service,20.4,Yes
No,100.0,Yes
No,105.0,Yes
No internet service,19.8,Yes
No,30.85,No
No,89.9,Yes
No internet service,20.55,Yes
Yes,84.85,Yes
No,33.15,No
Yes,92.0,Yes
Yes,89.8,Yes
Yes,115.8,Yes
Yes,85.15,Yes
No internet service,24.85,Yes
No,64.35,Yes
No internet service,20.5,Yes
No,100.15,Yes
Yes,86.05,Yes
Yes,50.8,Yes
Yes,89.0,Yes
Yes,64.8,No
No internet service,19.8,Yes
No,93.4,Yes
Yes,73.65,Yes
Yes,95.1,Yes
No,94.65,Yes
No,80.6,Yes
No,39.0,No
No internet service,20.5,Yes
No,85.55,Yes
No internet service,26.4,Yes
No,98.2,Yes
Yes,97.55,Yes
No internet service,19.95,Yes
Yes,50.8,No
No,99.7,Yes
No,34.8,No
No,105.1,Yes
No,60.15,No
No,64.75,Yes
Yes,54.65,Yes
Yes,110.1,Yes
No internet service,19.3,Yes
No,83.9,Yes
No,111.25,Yes
No,35.8,No
No internet service,20.05,Yes
No,84.35,Yes
Yes,110.5,Yes
No,91.2,Yes
Yes,100.55,Yes
No,89.3,Yes
Yes,103.85,Yes
No,81.1,Yes
No,24.6,No
No,81.2,Yes
Yes,94.3,Yes
Yes,116.1,Yes
Yes,105.55,Yes
No,98.9,Yes
Yes,94.4,Yes
No internet service,19.5,Yes
No,98.3,Yes
No,93.85,Yes
Yes,105.6,Yes
Yes,81.35,Yes
No,100.5,Yes
No,56.4,Yes
Yes,65.35,Yes
No internet service,19.95,Yes
Yes,111.25,Yes
Yes,72.85,Yes
Yes,89.0,Yes
No,106.1,Yes
No internet service,20.05,Yes
No internet service,25.2,Yes
No,73.55,Yes
No,75.4,Yes
Yes,65.55,No
No,80.7,Yes
Yes,104.55,Yes
No internet service,24.15,Yes
No internet service,20.45,Yes
No,75.4,Yes
Yes,79.7,Yes
Yes,81.7,Yes
Yes,76.3,Yes
Yes,79.4,Yes
Yes,81.15,Yes
Yes,103.75,Yes
No,86.45,Yes
Yes,75.1,Yes
Yes,80.6,Yes
No internet service,19.3,Yes
No,84.6,Yes
No,33.6,No
No,83.25,Yes
Yes,80.85,Yes
No,79.05,Yes
Yes,108.05,Yes
No internet service,19.9,Yes
No internet service,21.05,Yes
Yes,30.15,No
No,79.85,Yes
Yes,65.5,No
Yes,104.1,Yes
No,74.4,Yes
No internet service,20.5,Yes
No,91.35,Yes
No,99.05,Yes
No internet service,20.5,Yes
No,44.95,Yes
Yes,75.6,Yes
No,55.1,Yes
No,58.95,Yes
No,95.1,Yes
No,44.7,Yes
No internet service,25.45,Yes
No,56.75,Yes
Yes,81.75,Yes
Yes,86.1,Yes
No,29.8,No
No internet service,20.5,Yes
No,60.9,Yes
No,73.25,Yes
No,45.7,Yes
No,100.3,Yes
No internet service,19.25,Yes
No internet service,20.85,Yes
Yes,77.35,Yes
No,96.0,Yes
No,90.55,Yes
Yes,93.85,Yes
Yes,70.1,Yes
Yes,30.35,No
Yes,75.95,Yes
No,108.05,Yes
No,69.9,Yes
No,75.25,Yes
Yes,103.75,Yes
No,54.95,Yes
No internet service,19.5,Yes
No internet service,19.6,Yes
No,47.85,Yes
No,86.6,Yes
No internet service,23.75,Yes
Yes,80.6,Yes
No,43.8,Yes
No internet service,19.75,Yes
No internet service,19.15,Yes
No internet service,19.6,Yes
No,80.3,Yes
No internet service,24.35,Yes
No internet service,25.25,Yes
No internet service,26.1,Yes
No internet service,20.0,Yes
Yes,85.3,Yes
No,70.0,Yes
No,94.3,Yes
No internet service,20.7,Yes
No,70.3,Yes
No,95.35,Yes
No,75.5,Yes
No,69.55,Yes
No internet service,19.85,Yes
No internet service,20.0,Yes
No,95.85,Yes
No,90.1,Yes
No,68.95,Yes
No,99.55,Yes
No internet service,20.75,Yes
No,50.15,Yes
Yes,58.65,No
No,95.9,Yes
Yes,49.5,Yes
No,57.45,Yes
No,53.65,Yes
Yes,80.1,Yes
No internet service,24.4,Yes
No,40.05,No
No internet service,19.5,Yes
No,51.05,Yes
No,54.35,Yes
Yes,84.7,Yes
No,86.1,Yes
No,70.35,Yes
Yes,110.0,Yes
No,100.6,Yes
No,94.9,Yes
No,83.75,Yes
No,88.3,Yes
No,69.75,Yes
No,71.6,Yes
No,92.1,Yes
No internet service,23.65,Yes
No,81.85,Yes
No internet service,25.1,Yes
Yes,114.7,Yes
No,49.15,No
No,80.9,Yes
Yes,79.45,Yes
No,90.45,Yes
No internet service,19.3,Yes
No,70.2,Yes
No,69.75,Yes
No,54.25,Yes
No,99.3,Yes
No,74.0,Yes
No,50.25,Yes
No internet service,19.8,Yes
No internet service,19.65,Yes
No,43.65,No
No,35.5,No
No,80.75,Yes
No,39.5,No
No,97.1,Yes
No internet service,19.55,Yes
No,80.0,Yes
No,84.7,Yes
No,89.55,Yes
No,90.6,Yes
No internet service,20.05,Yes
Yes,112.4,Yes
No,50.2,Yes
No,62.25,Yes
No,55.7,Yes
No,90.05,Yes
No internet service,19.65,Yes
No,89.25,Yes
Yes,99.05,Yes
No,54.0,Yes
No,69.75,Yes
Yes,49.05,Yes
No,56.75,No
No,98.05,Yes
No internet service,21.1,Yes
Yes,96.65,Yes
No internet service,24.5,Yes
Yes,114.5,Yes
Yes,79.2,Yes
No,69.55,Yes
No internet service,20.05,Yes
No,98.85,Yes
No internet service,25.75,Yes
No,80.95,Yes
No internet service,19.6,Yes
No,74.3,Yes
No,89.7,Yes
No,87.65,Yes
No,100.45,Yes
No,74.75,Yes
Yes,107.45,Yes
No,75.35,Yes
Yes,64.95,Yes
No,100.45,Yes
Yes,68.5,Yes
No,80.55,Yes
No,81.25,Yes
No,90.4,Yes
Yes,89.55,Yes
No,55.7,Yes
No internet service,24.8,Yes
No internet service,20.0,Yes
Yes,56.15,Yes
Yes,105.2,Yes
No internet service,19.55,Yes
No,79.75,Yes
Yes,97.45,Yes
No internet service,24.25,Yes
No internet service,24.6,Yes
Yes,50.15,Yes
Yes,39.6,No
No,94.4,Yes
Yes,89.85,Yes
No,78.95,Yes
Yes,98.85,Yes
No,53.85,Yes
No internet service,24.25,Yes
No,89.45,Yes
Yes,105.25,Yes
No,59.5,No
No,70.55,Yes
No,82.5,Yes
No,44.85,No
Yes,61.6,Yes
Yes,49.05,Yes
Yes,105.65,Yes
No,74.65,Yes
Yes,66.25,Yes
No internet service,19.4,Yes
No,86.05,Yes
No internet service,19.15,Yes
No,64.7,Yes
No,104.05,Yes
No internet service,19.25,Yes
Yes,81.95,Yes
Yes,114.65,Yes
No internet service,20.0,Yes
No internet service,19.8,Yes
No,65.15,Yes
No internet service,19.65,Yes
Yes,88.95,Yes
No internet service,20.2,Yes
No,75.2,Yes
Yes,56.8,Yes
No,35.55,No
No,75.5,Yes
No,35.6,No
No,60.25,Yes
No,95.15,Yes
No,96.65,Yes
Yes,40.35,No
No internet service,18.85,Yes
No,54.85,Yes
No,64.3,Yes
No internet service,24.65,Yes
Yes,76.1,Yes
No internet service,18.7,Yes
Yes,97.95,Yes
Yes,94.1,Yes
No,80.4,Yes
No,95.1,Yes
Yes,31.35,No
No,72.35,Yes
Yes,89.75,Yes
Yes,82.7,Yes
No internet service,19.9,Yes
No,53.8,Yes
No,51.55,Yes
No internet service,19.65,Yes
Yes,44.05,No
Yes,114.0,Yes
Yes,94.4,Yes
Yes,100.4,Yes
No internet service,19.85,Yes
Yes,54.25,Yes
No,80.0,Yes
Yes,109.9,Yes
No,79.2,Yes
No,101.35,Yes
Yes,94.3,Yes
No,49.8,Yes
No,60.05,Yes
No,53.75,No
No,93.45,Yes
No,87.9,Yes
No,60.15,Yes
No,61.05,Yes
No,104.05,Yes
No,99.25,Yes
No,85.7,Yes
Yes,104.85,Yes
Yes,69.15,Yes
No,90.45,Yes
No,74.45,Yes
Yes,50.45,Yes
Yes,60.0,Yes
Yes,85.25,Yes
No internet service,19.45,Yes
No internet service,20.75,Yes
No,78.9,Yes
Yes,104.5,Yes
Yes,49.4,Yes
Yes,94.25,Yes
No internet service,25.0,Yes
No,25.55,No
No,74.9,Yes
No,70.15,Yes
No,69.4,Yes
No,80.25,Yes
Yes,93.15,Yes
No,69.0,Yes
No,66.35,Yes
No,69.55,Yes
No internet service,20.2,Yes
No,86.0,Yes
No,80.3,Yes
No internet service,20.4,Yes
No internet service,23.75,Yes
Yes,90.55,Yes
No,70.45,Yes
No,65.75,Yes
No,24.6,No
No,69.25,Yes
No,75.9,Yes
No,45.85,Yes
No,49.95,No
No internet service,24.65,Yes
Yes,90.4,Yes
No,100.85,Yes
No,75.35,Yes
Yes,87.2,Yes
No,64.4,Yes
No,78.3,Yes
No internet service,24.7,Yes
Yes,105.85,Yes
Yes,98.3,Yes
No,76.95,Yes
No internet service,19.45,Yes
No,96.15,Yes
Yes,58.7,Yes
No internet service,20.15,Yes
No,64.5,Yes
No,28.5,No
No,45.3,Yes
No internet service,19.4,Yes
No,90.45,Yes
Yes,105.15,Yes
Yes,83.15,Yes
No,90.15,Yes
No,45.05,Yes
No,103.2,Yes
Yes,75.8,Yes
No internet service,19.45,Yes
No,79.3,Yes
No,88.8,Yes
No,30.9,No
No,85.9,Yes
No,34.2,No
