MonthlyCharges,Contract,PaymentMethod
70.55,Month-to-month,Electronic check
49.55,Month-to-month,Bank transfer (automatic)
93.4,Month-to-month,Bank transfer (automatic)
99.65,Month-to-month,Electronic check
79.9,Month-to-month,Electronic check
105.2,Month-to-month,Electronic check
19.8,Month-to-month,Mailed check
35.1,Month-to-month,Electronic check
51.2,Month-to-month,Credit card (automatic)
76.0,Month-to-month,Electronic check
100.0,One year,Electronic check
75.45,Month-to-month,Mailed check
93.2,Month-to-month,Credit card (automatic)
49.65,Month-to-month,Bank transfer (automatic)
69.5,Month-to-month,Bank transfer (automatic)
80.2,Month-to-month,Electronic check
88.55,Month-to-month,Electronic check
104.5,Month-to-month,Credit card (automatic)
104.95,Month-to-month,Bank transfer (automatic)
94.45,Month-to-month,Electronic check
85.95,Month-to-month,Electronic check
48.35,One year,Credit card (automatic)
19.6,Month-to-month,Mailed check
108.6,Two year,Credit card (automatic)
81.1,Month-to-month,Electronic check
95.15,Month-to-month,Mailed check
54.45,Month-to-month,Electronic check
46.2,Month-to-month,Credit card (automatic)
90.75,Month-to-month,Electronic check
106.1,Month-to-month,Electronic check
69.9,Month-to-month,Electronic check
70.6,Month-to-month,Mailed check
86.85,Month-to-month,Electronic check
86.05,Month-to-month,Electronic check
100.5,Month-to-month,Electronic check
93.8,Month-to-month,Bank transfer (automatic)
84.8,Month-to-month,Electronic check
84.65,Month-to-month,Electronic check
102.1,Month-to-month,Credit card (automatic)
75.0,Month-to-month,Mailed check
20.9,Month-to-month,Mailed check
70.6,Month-to-month,Electronic check
87.25,Month-to-month,Electronic check
76.05,Month-to-month,Electronic check
29.85,Month-to-month,Bank transfer (automatic)
83.9,Month-to-month,Electronic check
98.65,Month-to-month,Electronic check
94.65,Month-to-month,Credit card (automatic)
55.8,Month-to-month,Electronic check
73.6,Month-to-month,Electronic check
91.15,Month-to-month,Electronic check
84.6,Month-to-month,Electronic check
95.2,Month-to-month,Electronic check
64.7,Month-to-month,Bank transfer (automatic)
70.0,One year,Mailed check
89.55,Month-to-month,Mailed check
90.5,Month-to-month,Bank transfer (automatic)
90.85,Month-to-month,Electronic check
75.1,Month-to-month,Bank transfer (automatic)
77.85,Month-to-month,Electronic check
88.05,Month-to-month,Electronic check
49.35,Month-to-month,Electronic check
79.35,Month-to-month,Electronic check
43.25,Month-to-month,Mailed check
53.4,Month-to-month,Credit card (automatic)
20.15,Month-to-month,Mailed check
85.6,Month-to-month,Electronic check
59.75,Month-to-month,Credit card (automatic)
74.45,Month-to-month,Mailed check
45.8,Month-to-month,Electronic check
50.6,Month-to-month,Mailed check
49.6,Month-to-month,Mailed check
78.95,Month-to-month,Electronic check
45.3,Month-to-month,Mailed check
82.0,Month-to-month,Electronic check
24.45,Month-to-month,Mailed check
85.7,Month-to-month,Electronic check
96.4,Month-to-month,Electronic check
93.2,Month-to-month,Electronic check
56.15,Month-to-month,Electronic check
89.85,Month-to-month,Mailed check
90.45,Month-to-month,Electronic check
94.25,Month-to-month,Electronic check
54.9,Month-to-month,Electronic check
30.5,Month-to-month,Credit card (automatic)
74.45,Month-to-month,Electronic check
82.0,One year,Credit card (automatic)
109.45,Two year,Bank transfer (automatic)
93.85,Month-to-month,Electronic check
105.85,Month-to-month,Bank transfer (automatic)
69.25,Month-to-month,Mailed check
90.25,Month-to-month,Electronic check
79.65,Month-to-month,Mailed check
70.15,Month-to-month,Electronic check
80.35,Month-to-month,Bank transfer (automatic)
44.15,Month-to-month,Mailed check
93.85,Month-to-month,Electronic check
94.7,Month-to-month,Electronic check
89.35,Month-to-month,Credit card (automatic)
20.5,Month-to-month,Mailed check
82.85,Month-to-month,Electronic check
55.85,One year,Mailed check
60.05,One year,Electronic check
90.1,Month-to-month,Electronic check
97.85,Month-to-month,Bank transfer (automatic)
84.75,Month-to-month,Electronic check
99.5,Month-to-month,Electronic check
99.8,Month-to-month,Electronic check
80.55,Month-to-month,Electronic check
44.7,Month-to-month,Credit card (automatic)
109.25,One year,Electronic check
30.9,Month-to-month,Electronic check
104.5,Month-to-month,Credit card (automatic)
54.4,Month-to-month,Mailed check
94.25,Month-to-month,Electronic check
95.35,Month-to-month,Electronic check
79.1,Month-to-month,Electronic check
100.2,Month-to-month,Electronic check
73.5,Month-to-month,Bank transfer (automatic)
104.55,One year,Bank transfer (automatic)
85.25,Month-to-month,Electronic check
109.5,One year,Electronic check
78.05,Month-to-month,Electronic check
45.65,Month-to-month,Electronic check
79.6,Month-to-month,Electronic check
89.05,Month-to-month,Bank transfer (automatic)
20.85,Month-to-month,Mailed check
104.15,One year,Electronic check
106.5,Two year,Bank transfer (automatic)
77.5,One year,Mailed check
20.15,Month-to-month,Bank transfer (automatic)
88.3,Month-to-month,Credit card (automatic)
20.4,One year,Electronic check
69.35,Month-to-month,Electronic check
44.6,Month-to-month,Electronic check
100.85,Month-to-month,Credit card (automatic)
20.25,Month-to-month,Mailed check
95.9,Month-to-month,Electronic check
55.7,Month-to-month,Mailed check
94.4,Month-to-month,Electronic check
69.65,Month-to-month,Electronic check
91.5,Month-to-month,Credit card (automatic)
55.9,Month-to-month,Credit card (automatic)
69.7,Month-to-month,Electronic check
106.75,Month-to-month,Electronic check
79.7,Month-to-month,Electronic check
30.4,Month-to-month,Electronic check
95.6,Month-to-month,Electronic check
46.35,Month-to-month,Electronic check
74.95,Month-to-month,Bank transfer (automatic)
72.65,Month-to-month,Electronic check
70.1,Month-to-month,Mailed check
81.7,Month-to-month,Bank transfer (automatic)
19.65,Month-to-month,Mailed check
109.8,Month-to-month,Mailed check
85.65,Month-to-month,Electronic check
39.05,Month-to-month,Electronic check
55.25,Month-to-month,Mailed check
92.45,Two year,Credit card (automatic)
102.25,Month-to-month,Credit card (automatic)
86.5,Month-to-month,Electronic check
104.4,Month-to-month,Electronic check
56.65,Month-to-month,Mailed check
76.1,Month-to-month,Electronic check
24.35,Month-to-month,Electronic check
74.9,Month-to-month,Electronic check
30.35,Month-to-month,Electronic check
75.0,Month-to-month,Mailed check
44.95,Month-to-month,Mailed check
19.7,Month-to-month,Mailed check
86.65,Month-to-month,Electronic check
89.25,Month-to-month,Electronic check
49.55,Month-to-month,Mailed check
54.75,Month-to-month,Mailed check
80.25,Month-to-month,Electronic check
99.35,Month-to-month,Electronic check
25.2,Month-to-month,Bank transfer (automatic)
79.0,Month-to-month,Electronic check
101.5,One year,Credit card (automatic)
90.1,Month-to-month,Electronic check
85.35,One year,Bank transfer (automatic)
81.7,Month-to-month,Electronic check
81.25,Month-to-month,Electronic check
79.4,Two year,Credit card (automatic)
85.45,Month-to-month,Bank transfer (automatic)
104.7,One year,Credit card (automatic)
106.05,Two year,Credit card (automatic)
74.35,Month-to-month,Electronic check
73.85,Month-to-month,Bank transfer (automatic)
34.7,Month-to-month,Electronic check
92.35,Month-to-month,Mailed check
45.15,Month-to-month,Mailed check
71.65,Month-to-month,Electronic check
60.0,Month-to-month,Electronic check
110.0,One year,Electronic check
76.2,Month-to-month,Electronic check
105.4,One year,Credit card (automatic)
19.4,Month-to-month,Mailed check
19.4,Month-to-month,Electronic check
90.6,Month-to-month,Electronic check
89.05,Month-to-month,Credit card (automatic)
86.25,Month-to-month,Electronic check
100.3,Month-to-month,Credit card (automatic)
99.6,Month-to-month,Electronic check
90.0,Month-to-month,Credit card (automatic)
73.0,Month-to-month,Electronic check
75.4,Month-to-month,Credit card (automatic)
89.8,Month-to-month,Electronic check
79.85,Month-to-month,Credit card (automatic)
80.15,Month-to-month,Bank transfer (automatic)
81.0,Month-to-month,Electronic check
45.1,Month-to-month,Electronic check
20.3,Month-to-month,Mailed check
50.25,Month-to-month,Bank transfer (automatic)
71.0,Month-to-month,Credit card (automatic)
88.8,Month-to-month,Bank transfer (automatic)
89.4,Month-to-month,Electronic check
74.3,Month-to-month,Electronic check
79.15,Month-to-month,Electronic check
45.3,Month-to-month,Mailed check
74.85,Month-to-month,Mailed check
95.65,Month-to-month,Electronic check
19.45,Month-to-month,Electronic check
98.0,Month-to-month,Electronic check
94.65,Month-to-month,Credit card (automatic)
89.8,Month-to-month,Electronic check
85.0,Month-to-month,Electronic check
100.15,Month-to-month,Electronic check
100.2,Month-to-month,Electronic check
98.25,One year,Electronic check
50.75,Month-to-month,Electronic check
89.5,Month-to-month,Electronic check
25.3,One year,Bank transfer (automatic)
25.2,Month-to-month,Mailed check
70.3,Month-to-month,Electronic check
69.55,Month-to-month,Bank transfer (automatic)
62.05,Month-to-month,Mailed check
29.7,Month-to-month,Mailed check
20.1,Month-to-month,Mailed check
79.2,Month-to-month,Electronic check
100.7,Month-to-month,Electronic check
30.3,Month-to-month,Bank transfer (automatic)
80.2,Month-to-month,Mailed check
19.1,Month-to-month,Mailed check
47.85,Two year,Electronic check
52.2,Month-to-month,Electronic check
45.05,Month-to-month,Mailed check
86.55,Month-to-month,Credit card (automatic)
74.95,Month-to-month,Electronic check
20.95,Month-to-month,Mailed check
85.0,Month-to-month,Electronic check
74.35,Month-to-month,Electronic check
79.9,Month-to-month,Electronic check
79.25,Month-to-month,Electronic check
103.75,One year,Electronic check
98.4,Month-to-month,Credit card (automatic)
19.75,Month-to-month,Bank transfer (automatic)
89.8,Month-to-month,Electronic check
94.0,Month-to-month,Electronic check
40.65,Month-to-month,Mailed check
102.0,Month-to-month,Electronic check
84.3,Month-to-month,Electronic check
91.25,Month-to-month,Electronic check
29.95,Month-to-month,Bank transfer (automatic)
79.35,Month-to-month,Bank transfer (automatic)
96.0,Month-to-month,Electronic check
71.8,Month-to-month,Bank transfer (automatic)
80.4,Month-to-month,Electronic check
75.5,Month-to-month,Electronic check
86.25,Month-to-month,Electronic check
29.5,Month-to-month,Mailed check
69.75,Month-to-month,Bank transfer (automatic)
69.05,Month-to-month,Mailed check
69.0,Month-to-month,Electronic check
104.65,Month-to-month,Electronic check
114.5,Month-to-month,Bank transfer (automatic)
90.85,Month-to-month,Electronic check
20.2,Month-to-month,Mailed check
100.05,Month-to-month,Electronic check
45.85,Month-to-month,Mailed check
80.85,Month-to-month,Bank transfer (automatic)
85.6,Month-to-month,Bank transfer (automatic)
84.25,Month-to-month,Credit card (automatic)
79.2,Month-to-month,Electronic check
78.9,Month-to-month,Electronic check
49.95,Month-to-month,Electronic check
46.0,Month-to-month,Electronic check
79.7,Month-to-month,Bank transfer (automatic)
70.45,Month-to-month,Mailed check
39.1,Month-to-month,Bank transfer (automatic)
105.05,Month-to-month,Electronic check
50.45,Month-to-month,Mailed check
84.8,Month-to-month,Bank transfer (automatic)
64.7,Month-to-month,Mailed check
84.8,Month-to-month,Electronic check
101.25,Month-to-month,Electronic check
79.1,Month-to-month,Electronic check
69.8,Month-to-month,Electronic check
70.35,Month-to-month,Electronic check
99.25,Month-to-month,Electronic check
95.85,Month-to-month,Electronic check
90.2,Month-to-month,Electronic check
106.9,Month-to-month,Electronic check
89.4,Month-to-month,Electronic check
25.25,Month-to-month,Electronic check
70.75,Month-to-month,Electronic check
80.45,Month-to-month,Electronic check
102.8,Month-to-month,Mailed check
85.45,Month-to-month,Electronic check
94.2,Month-to-month,Electronic check
89.45,Month-to-month,Credit card (automatic)
75.8,Month-to-month,Electronic check
105.35,Month-to-month,Bank transfer (automatic)
57.15,Month-to-month,Credit card (automatic)
48.95,Month-to-month,Credit card (automatic)
89.75,Month-to-month,Electronic check
34.7,One year,Mailed check
100.45,One year,Mailed check
20.2,Month-to-month,Mailed check
85.25,Month-to-month,Credit card (automatic)
74.7,Month-to-month,Electronic check
49.9,Month-to-month,Mailed check
78.45,Month-to-month,Electronic check
101.9,Month-to-month,Electronic check
19.95,Month-to-month,Electronic check
75.25,Month-to-month,Electronic check
46.0,Month-to-month,Electronic check
102.45,Month-to-month,Electronic check
74.3,Month-to-month,Credit card (automatic)
76.65,Month-to-month,Bank transfer (automatic)
51.75,Month-to-month,Credit card (automatic)
19.9,Month-to-month,Mailed check
85.0,Month-to-month,Electronic check
71.35,Month-to-month,Mailed check
74.35,Month-to-month,Electronic check
99.1,Month-to-month,Credit card (automatic)
94.65,Month-to-month,Electronic check
74.5,Month-to-month,Electronic check
44.85,Month-to-month,Electronic check
69.85,Month-to-month,Electronic check
100.05,Month-to-month,Electronic check
98.1,Month-to-month,Bank transfer (automatic)
53.95,Month-to-month,Electronic check
101.1,Month-to-month,Electronic check
89.6,Month-to-month,Mailed check
105.0,Month-to-month,Electronic check
83.85,Month-to-month,Electronic check
78.75,Month-to-month,Electronic check
19.9,Month-to-month,Mailed check
85.15,One year,Electronic check
70.4,Month-to-month,Electronic check
74.4,Month-to-month,Electronic check
80.35,Month-to-month,Electronic check
105.2,One year,Bank transfer (automatic)
74.9,Month-to-month,Electronic check
105.9,Month-to-month,Electronic check
96.7,Month-to-month,Electronic check
19.85,One year,Mailed check
70.45,One year,Bank transfer (automatic)
85.2,Month-to-month,Electronic check
19.8,Month-to-month,Mailed check
90.8,Month-to-month,Electronic check
89.8,Month-to-month,Mailed check
25.2,Month-to-month,Electronic check
85.9,Month-to-month,Bank transfer (automatic)
103.45,Month-to-month,Electronic check
35.0,Month-to-month,Electronic check
74.7,Month-to-month,Electronic check
40.65,Month-to-month,Credit card (automatic)
19.5,Month-to-month,Mailed check
80.6,Month-to-month,Bank transfer (automatic)
80.75,Month-to-month,Electronic check
94.1,Month-to-month,Credit card (automatic)
74.9,Month-to-month,Electronic check
44.55,Month-to-month,Electronic check
99.85,Month-to-month,Electronic check
75.65,Month-to-month,Electronic check
96.25,Month-to-month,Electronic check
19.75,Month-to-month,Mailed check
99.4,Month-to-month,Electronic check
95.05,Month-to-month,Electronic check
106.4,Month-to-month,Electronic check
100.6,Month-to-month,Electronic check
84.3,Month-to-month,Mailed check
78.45,Month-to-month,Electronic check
103.7,Month-to-month,Electronic check
104.4,One year,Credit card (automatic)
55.15,Month-to-month,Mailed check
74.95,Month-to-month,Electronic check
79.85,Month-to-month,Electronic check
55.0,Month-to-month,Credit card (automatic)
90.6,Month-to-month,Electronic check
95.55,Month-to-month,Electronic check
84.8,Month-to-month,Electronic check
69.2,Month-to-month,Electronic check
69.1,Month-to-month,Mailed check
93.85,Month-to-month,Electronic check
54.55,Month-to-month,Electronic check
80.65,Month-to-month,Credit card (automatic)
46.0,Month-to-month,Credit card (automatic)
73.65,Month-to-month,Electronic check
100.5,Month-to-month,Bank transfer (automatic)
46.0,Month-to-month,Mailed check
99.5,Month-to-month,Credit card (automatic)
70.2,Two year,Credit card (automatic)
25.1,Month-to-month,Electronic check
20.15,Month-to-month,Mailed check
84.85,Month-to-month,Electronic check
107.4,Month-to-month,Bank transfer (automatic)
69.5,Month-to-month,Electronic check
19.65,Month-to-month,Bank transfer (automatic)
89.75,One year,Electronic check
74.4,Month-to-month,Bank transfer (automatic)
50.65,Month-to-month,Mailed check
72.2,Month-to-month,Bank transfer (automatic)
69.1,Month-to-month,Electronic check
94.1,Month-to-month,Electronic check
96.75,One year,Electronic check
85.45,Month-to-month,Electronic check
98.55,Month-to-month,Electronic check
46.05,Month-to-month,Bank transfer (automatic)
91.65,Month-to-month,Electronic check
83.05,Month-to-month,Electronic check
89.2,Month-to-month,Electronic check
90.85,Month-to-month,Credit card (automatic)
20.2,Month-to-month,Bank transfer (automatic)
110.45,Month-to-month,Electronic check
109.5,One year,Bank transfer (automatic)
98.75,Month-to-month,Electronic check
103.25,One year,Credit card (automatic)
54.45,Month-to-month,Electronic check
105.5,Month-to-month,Electronic check
93.15,Month-to-month,Electronic check
45.15,Month-to-month,Electronic check
76.65,Month-to-month,Electronic check
79.45,Month-to-month,Electronic check
64.4,One year,Mailed check
101.05,Month-to-month,Electronic check
95.75,Month-to-month,Electronic check
98.8,Month-to-month,Bank transfer (automatic)
91.65,Month-to-month,Electronic check
79.25,Month-to-month,Electronic check
75.1,Month-to-month,Electronic check
104.8,Month-to-month,Bank transfer (automatic)
88.3,Month-to-month,Mailed check
40.1,Month-to-month,Electronic check
25.9,Month-to-month,Bank transfer (automatic)
93.55,Month-to-month,Electronic check
73.85,Month-to-month,Electronic check
103.4,Month-to-month,Electronic check
74.9,Month-to-month,Bank transfer (automatic)
70.9,Month-to-month,Bank transfer (automatic)
49.15,Month-to-month,Electronic check
89.3,Month-to-month,Credit card (automatic)
30.1,Month-to-month,Credit card (automatic)
75.8,Month-to-month,Electronic check
112.95,Two year,Bank transfer (automatic)
94.4,Month-to-month,Electronic check
90.05,Month-to-month,Electronic check
72.9,Month-to-month,Mailed check
74.65,Month-to-month,Mailed check
57.45,Month-to-month,Electronic check
84.95,Month-to-month,Electronic check
83.75,Month-to-month,Electronic check
70.0,Month-to-month,Bank transfer (automatic)
111.1,Month-to-month,Electronic check
107.5,One year,Electronic check
66.5,One year,Bank transfer (automatic)
55.35,Month-to-month,Electronic check
88.35,Month-to-month,Electronic check
25.15,Month-to-month,Electronic check
79.4,Month-to-month,Electronic check
99.05,Month-to-month,Electronic check
104.05,One year,Bank transfer (automatic)
69.6,Month-to-month,Electronic check
55.9,Month-to-month,Electronic check
96.1,Month-to-month,Electronic check
55.0,Month-to-month,Credit card (automatic)
80.05,Month-to-month,Bank transfer (automatic)
25.3,Month-to-month,Electronic check
106.15,Month-to-month,Bank transfer (automatic)
94.4,Month-to-month,Electronic check
40.3,Month-to-month,Electronic check
102.95,Month-to-month,Electronic check
81.0,Month-to-month,Electronic check
84.3,Month-to-month,Electronic check
69.6,Month-to-month,Electronic check
105.9,Month-to-month,Electronic check
35.1,Month-to-month,Electronic check
83.2,Month-to-month,Electronic check
20.0,Month-to-month,Electronic check
75.2,Month-to-month,Electronic check
114.2,Two year,Bank transfer (automatic)
24.45,Month-to-month,Electronic check
88.45,Month-to-month,Electronic check
107.35,Month-to-month,Bank transfer (automatic)
45.75,Month-to-month,Electronic check
98.75,Month-to-month,Electronic check
70.05,Month-to-month,Electronic check
109.65,Two year,Electronic check
74.95,Month-to-month,Electronic check
44.2,Month-to-month,Bank transfer (automatic)
94.25,Month-to-month,Electronic check
85.55,Month-to-month,Electronic check
74.4,Month-to-month,Bank transfer (automatic)
85.3,Month-to-month,Electronic check
69.55,Month-to-month,Electronic check
86.5,Month-to-month,Electronic check
19.35,Two year,Mailed check
95.6,Month-to-month,Electronic check
105.95,One year,Credit card (automatic)
94.85,Month-to-month,Mailed check
70.15,One year,Credit card (automatic)
39.5,Month-to-month,Electronic check
70.1,Month-to-month,Electronic check
100.0,Month-to-month,Electronic check
116.2,Two year,Credit card (automatic)
90.8,Month-to-month,Electronic check
98.25,Month-to-month,Electronic check
103.85,Month-to-month,Electronic check
77.0,Month-to-month,Electronic check
93.35,Month-to-month,Electronic check
19.6,Month-to-month,Mailed check
99.0,Month-to-month,Credit card (automatic)
80.3,Month-to-month,Electronic check
100.6,One year,Bank transfer (automatic)
31.05,Month-to-month,Electronic check
99.5,Month-to-month,Electronic check
62.7,One year,Credit card (automatic)
87.1,Month-to-month,Mailed check
94.3,Month-to-month,Electronic check
98.15,Month-to-month,Mailed check
101.95,Month-to-month,Electronic check
93.85,Month-to-month,Electronic check
104.15,Two year,Bank transfer (automatic)
70.45,Month-to-month,Electronic check
53.75,Month-to-month,Electronic check
75.55,Month-to-month,Credit card (automatic)
70.75,Month-to-month,Electronic check
84.95,Month-to-month,Electronic check
73.95,Month-to-month,Credit card (automatic)
85.05,Month-to-month,Electronic check
69.85,Month-to-month,Electronic check
99.7,Month-to-month,Electronic check
76.25,Month-to-month,Electronic check
85.45,Month-to-month,Mailed check
89.1,Month-to-month,Electronic check
94.8,One year,Electronic check
99.85,Month-to-month,Bank transfer (automatic)
100.25,Month-to-month,Credit card (automatic)
19.75,Month-to-month,Electronic check
69.95,Month-to-month,Electronic check
70.7,Month-to-month,Electronic check
21.0,Month-to-month,Electronic check
89.55,Month-to-month,Electronic check
79.55,Month-to-month,Electronic check
97.35,Month-to-month,Electronic check
50.8,Month-to-month,Electronic check
69.25,Month-to-month,Electronic check
98.9,Month-to-month,Bank transfer (automatic)
75.35,Month-to-month,Electronic check
77.95,Month-to-month,Credit card (automatic)
20.5,Month-to-month,Mailed check
80.6,Month-to-month,Electronic check
86.0,Month-to-month,Electronic check
62.65,Month-to-month,Electronic check
104.4,Month-to-month,Electronic check
95.1,Month-to-month,Credit card (automatic)
74.45,Month-to-month,Mailed check
99.55,Month-to-month,Electronic check
41.6,One year,Electronic check
55.8,Month-to-month,Electronic check
47.95,Month-to-month,Electronic check
74.95,Month-to-month,Electronic check
99.5,Month-to-month,Electronic check
80.2,Month-to-month,Electronic check
63.6,Month-to-month,Electronic check
99.7,Month-to-month,Bank transfer (automatic)
49.75,One year,Electronic check
92.5,Month-to-month,Mailed check
25.15,Two year,Credit card (automatic)
100.85,Month-to-month,Electronic check
65.0,Month-to-month,Mailed check
20.35,Month-to-month,Mailed check
84.9,Month-to-month,Electronic check
19.75,One year,Mailed check
44.6,Month-to-month,Credit card (automatic)
84.5,Month-to-month,Electronic check
108.55,One year,Electronic check
45.1,Month-to-month,Mailed check
105.0,Month-to-month,Credit card (automatic)
85.65,Month-to-month,Electronic check
74.8,Month-to-month,Bank transfer (automatic)
101.75,Month-to-month,Electronic check
19.0,Month-to-month,Mailed check
78.5,Month-to-month,Electronic check
95.5,Two year,Mailed check
89.1,Month-to-month,Electronic check
84.6,Month-to-month,Electronic check
105.1,Month-to-month,Electronic check
25.7,Month-to-month,Mailed check
19.45,Month-to-month,Mailed check
69.0,Month-to-month,Bank transfer (automatic)
70.0,Month-to-month,Electronic check
102.95,Month-to-month,Credit card (automatic)
89.6,Month-to-month,Bank transfer (automatic)
23.9,Month-to-month,Electronic check
85.75,Month-to-month,Electronic check
45.35,Month-to-month,Electronic check
81.15,Month-to-month,Electronic check
91.7,Month-to-month,Credit card (automatic)
108.15,Month-to-month,Credit card (automatic)
106.0,One year,Electronic check
54.15,Month-to-month,Credit card (automatic)
94.0,Month-to-month,Electronic check
95.65,Month-to-month,Bank transfer (automatic)
85.35,Month-to-month,Credit card (automatic)
68.65,Month-to-month,Electronic check
95.25,One year,Credit card (automatic)
70.4,Month-to-month,Bank transfer (automatic)
49.4,Month-to-month,Electronic check
92.1,Month-to-month,Electronic check
24.45,Month-to-month,Electronic check
101.9,Month-to-month,Bank transfer (automatic)
49.4,Month-to-month,Electronic check
51.0,Month-to-month,Mailed check
81.35,Month-to-month,Electronic check
79.6,Month-to-month,Mailed check
80.45,Month-to-month,Credit card (automatic)
35.9,Month-to-month,Electronic check
70.7,Month-to-month,Credit card (automatic)
75.15,Month-to-month,Bank transfer (automatic)
106.3,Month-to-month,Electronic check
45.7,Month-to-month,Mailed check
106.6,Month-to-month,Electronic check
43.3,Month-to-month,Electronic check
50.15,Month-to-month,Mailed check
98.7,Month-to-month,Electronic check
100.0,One year,Electronic check
70.25,Month-to-month,Electronic check
45.3,Month-to-month,Electronic check
31.35,Month-to-month,Mailed check
80.0,Month-to-month,Electronic check
80.95,Month-to-month,Electronic check
